Title,Company,Description
Data Scientist,OSTC,"Company Description
In just over 15 years, OSTC has become one of the leading proprietary trading companies in the world. Our success is based on hiring and developing talented people and helping them to perform to their maximum and fulfil their potential. We are a trading company, however, unlike many other trading companies, we are continually innovating new products to support our business.
ZISHI is our comprehensive platform for all knowledge and training, which powers the OSTC trading business across the world. Partnering with world-leading Artificial Intelligence specialists at University College London, Adaptive draws upon extensive OSTC data to bring valuable, performance-enhancing insights and tools into the individual and collective trading experience.
Job Description
The role will be working closely with the Co-Head of ZISHI, OSTC’s Chief Technology Officer and senior stakeholders within the business (and external expert partners). The primary focus will be to help create and embed AI-powered technology into key areas of OSTC’s business.
Main responsibilities will include:
Handling a vast amount of data, originating from various data sources, integrate, clean, and verify its integrity.
Translating business opportunities and challenges into data, and data into actionable business insights, and into effective decision making
Selecting features, building and optimizing classifiers using machine learning and statistical techniques.
Being knowledgeable and proactive about data-related ethical issues.
Enhancing the organization’s data collection procedures to include information that is relevant for building analytic systems
Being proactive about technology horizon scanning, test and evaluating data mining models to select the most appropriate ones for any context
Having responsibility for the organisation’s data science strategy, being a go-to person from any data related question in OSTC.
Qualifications
You are a driven candidate with strong background in machine learning that can successfully help drive the creation and deployment of products for OSTC as well as third party clients. You have a genuine passion for data and it's mobilisation in products to improve business performance, within the domain areas of trading and education. You possess the ability to understand the wider business strategy and think critically about how the work they are doing contributes to the overall strategic goals.
Solid work experience involving quantitative data analysis, machine learning and statistical analysis to solve problems, and develop data-oriented products.
Degree (advanced degree preferred) in applied math, statistics, computer science or other related fields.
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Random Forests, etc.
Excellent applied statistics skills, such as distributions, statistical testing, regression, etc.
Good scripting and programming skills, preferably using Python, optional: R, Weka, SPSS.
Experience in database interrogation and analysis tools, such as Hadoop, SQL.
Additional Information
We are offering:
Entrepreneurial culture and a truly international environment
To work in a business with a clear growth plan.
Flexible working hours and remote work opportunities.
A clear personal progression and development plan.
Take the opportunity – We have built a company where financial success is tied closely to technical achievement. We are always on the lookout for people who can bring their intellect, enthusiasm, and ability to execute to the team.
Terms and Conditions: OSTC Limited is strongly committed to protecting the privacy of your personal information. The OSTC Job Applicant Privacy Notice explains how we treat the information you submit and we collect as a part of the recruitment process. By using the OSTC careers website and submitting your personal information through this site, you agree that OSTC Limited may process your personal information for the purposes described in the OSTC Job Applicant Privacy Notice. OSTC Limited is the data controller for the information you provide through this website.
We promote a working environment in which diversity is recognised, valued and encouraged. OSTC is an equal opportunity employer, therefore, all appointments and promotions are made on the basis of performance and ability."
Biostatistician / Data Scientist - Innovative Biopharma - Lo...,Warman O'Brien,"Biostatistician / Data Scientist - London
I am seeking a Biostatistician/Data Scientist for a young and ambitious Biopharma company focused on the development of personalised therapies for the treatment of cancer.
They are looking for a statistician able to deliver robust statistical analyses to evaluate exploratory hypotheses within their translational science division.
Desirable Experience
Experience and qualified as a Statistician
Hands-on experience working with ‘big data’, machine learning, coding, GIT
Experience working with biological data
Some Pharma experience
Research background
Experience in handling, modelling and drawing inferences from large volumes of data
Experience in R or Python
Strong communication skills to convey statistical analyses
PhD (preferred) Or M-Res
Experience in Oncology (advantage)
How will you be a success?
Provide expert statistical input into the development and delivery of statistical analyses
Turn exploratory analysis into actionable insights from clinical trials
Work collaboratively, and forge strong links, with multi-disciplinary teams
Model and integrate datasets to evaluate existing hypotheses and guide the future direction of projects
You like to work in an environment where you can:
This is a unique opportunity to join a company in an exciting start-up phase that has the potential to transform the clinical management of cancer.
Culture:
They have a multicultural and adhesive culture with a very strong sense of purpose. Great working environment with a ‘family feel’. The company also hire on personality.
What do you get in return?
A unique opportunity to be involved in innovative developments of cancer treatments
Opportunity to research and implement novel statistical/big data methodology
Autonomy in your role and direction within an innovative start-up company
Competitive salary, bonus and equity
INDEU
Reference ID: AW0011
Job Types: Full-time, Contract, Permanent
Salary: £45,000.00 - £60,000.00 per year
Additional pay:
Bonus Scheme
Benefits:
Profit Sharing
Experience:
Statistician: 1 year (Required)
Education:
Master's (Required)"
Data Scientist,ctrlio Ltd,"ctrlio helps motor insurers win customers more efficiently and manage their risk portfolios in real-time. Good for the insurer, the channel and, most importantly, the customer.
We are expanding the ctrlio team and are looking for a talented full-time data scientist to help us develop the technology that delivers this change. You’ll be part of an amazing team of data scientists and software engineers using our modern tech stack (python, go and pyspark running on a staggeringly fast AWS microservices architecture).
At ctrlio, every member of our team has an essential voice in defining the product we deliver, and this exciting opportunity gives you the chance to transform the insurance marketplace.
In this role you will
Carry out advanced analytics on our unique, complex data that will set the company direction
Create innovative machine-learning solutions which sit at the core of our real-time architecture
Build for production - at ctrlio we have a very collaborative culture - we work as one team, with our data scientists and software engineers working side by side, producing high quality and robust results
What you'll need to be successful
Experience in the actuarial team at a personal lines insurer
The mindset of a creative disrupter
A track record of translating data into commercial value
An ability and a love for wrangling large, messy, real world datasets
Comfortable using different big data technologies and tools and a passion for learning new ones
An ability to deliver key results in a timely manner
Experience with good engineering practises (e.g. Git version control)
An open and proactive approach to working in a largely remote team
What you'll achieve
3 months
Become familiar with the ctrlio business, tech stack and architecture
Work closely with our team of data scientists, product owners and software engineers
Carry out deep-dive analysis into our biggest areas of interest
Create high-quality, well validated predictive models on large datasets
Participate in our sprint process
12 months
Become highly knowledgeable about ctrlio products and where we sit in the industry
Take responsibility for new data science projects - driving the analytics that will set our company direction
What you'll get from us
We realise exceptional people don’t choose jobs based solely on benefits, but we do our best to make sure that you’re set up for success, so you can do your best work. At ctrlio, you’ll get a competitive salary, equity options, contributory pension, 25 days holiday + 2 duvet days. We also have a flexible working environment aimed at helping you get the most out of both work and home life.
We are currently working fully remotely but will give you everything you need to work effectively from home. We plan to remain mostly remote for the foreseeable future but have created a great remote working culture - ask about our daily lunch ‘n’ learns, tea and biscuits, treat deliveries and more. Once lockdown ends, we are all looking forward to getting together, for off-site team away days to discuss culture and strategy, as well as our Summer and Christmas parties."
Junior Data Scientist,Novafutur,"This is an opportunity to become a Data Scientist\ML Engineer and to become an integral part of our team. Being a data scientist would require the ability to analyse big data sets coming from heterogeneous producers both in real time and offline, as well as to apply complex algorithms producing readable reports using BI tools and online KPIs integrated with operational systems. Our data scientist should be very good at working and communicating within an existing team and collaborate on a daily basis.
Responsibilities:
Ability to analyse big data sets coming from heterogeneous producers both in real time and offline.
Apply complex algorithms producing readable reports using BI tools and online KPIs
Creating machine learning tools to generate predictions and insights
Apply deep learning techniques in a commercial setting
Required Skills and Experience:
University degree in a scientific field (Maths, Statistics, Computer Science, Data Science)
Knowledge of Python and SQL
Knowledge of the following algorithms:
Linear and logistic regression
LDA
SVM
K-nearest neighbors
K-means clustering
Classification and Regression trees
Naive Bayes
Ideally Applicants have:
A high level of mathematical ability
Thorough grounding in statistics
Problem solving skills on high level
Methodical and logical approach
Accuracy and attention to detail
Natural passion for data analytics
If you feel you have the knowledge and skills to excel in this role, we would love to hear from you! Just click the ""Apply"" button and send us a message outlining why you would be well suited to the position."
Data Scientist Lead,"JPMorgan Chase Bank, N.A.","Position Overview & Responsibilities:
This is a leadership position in the HR Data Science team with responsibility to design, plan, and execute on a cross-functional book of work. This position, reporting to the Head of Data Science, will be tasked with:
identifying and investigating areas of new opportunity for advanced analytics in the HR space
supporting and expanding existing data products via experiment design, storytelling, and partnership with Finance, Technology, and business executives
team leadership and individual contribution to a variety of projects and products focused on integrating ML and NLP within HR and business processes
Candidate Profile
The ideal candidate will demonstrate skill in client engagement, team leadership, and creative problem solving. They will possess significant technical knowledge and experience with natural language processing, particularly text pre-processing, word embedding, and topic modeling. S/he will also be skilled in predictive model development and in communicating technical subject-matter to a variety of audiences.
In addition to strong technical skills, the ideal candidate will be innovative, self-motivated, and inclined to create genuine business value through the alignment of technology, data, and business interests. Strong communication skills and teamwork will be vital to success, as many high value opportunities require partnership with multiple business and functional groups across the firm.
Key Responsibilities
Partner with HR executives, business leaders, and functional groups to develop and advance the HR data science agenda
Build innovative models, tools and applications to solution new opportunities with ML and NLP
Lead and partner with data scientists, analysts, and engineers on the team and in aligned support functions to deploy, maintain, and scale models as integrated data products
Design and support experiments to quantify business value
Translate research to actionable insights and clearly communicate results to business owners
Connect with other analytics groups to share and review work, tools, methodologies and results
Requirements
B.S. in Computer Science or a quantitative field preferred
Significant programming experience required, Python preferred
Familiarity with NLP, classification modeling, and network analysis preferred
Experience with experiment design is desired
Strong communication skills and a team-oriented attitudeJ.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs."
Data Scientist - Talent Pool (m/f/d),GVC Group,"At bwin, part of GVC Group, the ambition, focus, energy and character of our digital marketing teams makes sure they’re ready for whatever we throw at them. Bring your skills to a business with the drive to match your own. Bring your resilience, and as part of our team you’ll make the world’s most amazing entertainment and gaming even more memorable. All underpinned with our commitment to responsibility and ethics. For the good of entertainment.
Our portfolio of sports betting and gaming companies includes some of the most well-known brands in the industry, such as Ladbrokes, bwin, and Coral. We’ve a huge high street presence with an increasing share of online gaming activity. We take our commitment to safeguarding our customers extremely seriously. We make sure they know their limits and we work with them to make sure everyone enjoys our products and services responsibly.
We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to manage our customers better and deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our marketing strategy and products/processes.
Your arena:
Create Machine Learning models and systems needed to optimise the Marketing and Customer management of an online gaming product. Models are applied to identify and solve underlying business logic problem statements.
Build predictive models and machine-learning algorithms and deploy those algorithms into a live production environment.
Conduct research and development activities, data exploration and discovery, develop prototypes, algorithms and proof of concepts, using leading data science and innovative Big Data solutions.
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Build data products to extract valuable business insights
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Collaborate with Engineering, Marketing and Product Development teams."
Graduate Data Scientist,UK Government - Office for National Statistics,"As a Data Scientist you will:

Deliver insight from data using statistical and data science techniques, applying your skills in coding, mathematics and statistics.
Help government understand and tackle some of the key challenges facing society on topics such as the economy, health, urban future and the UK in a global context.
Access appropriate and analyse data sources required for the project.
Support the creation of innovative data products and services and be able to tell a compelling evidence based narrative of the project.

Responsibilities
We are looking for candidates with existing knowledge and experience of some or all of the following data science techniques:

Essential skills
Data analytics – such as statistical model selection, supervised/un-supervised/deep machine learning, network analysis, and natural language processing (NLP). Confident programming ability (R, Python or other data analysis relevant languages).
Data Management/curation – such as the manipulation and analysis of datasets held in relational and/or non-relational databases.
Data/Systems engineering – such as the implementation of algorithms in programming languages (like R or Python), SQL and noSQL database systems, statistical analysis languages and tooling.
Story telling and data visualisation – including the visualisation of insights drawn from data and building of data driven products.
Scientific research methods – analytical, independent, critical and curious analysis of data literature reviews.

Desirable skills
Examples of open source projects and contributions or Github profile.
Those with equivalent wider experience are also actively encouraged to apply.

Qualifications
A minimum of a 2.1 degree, or post graduate qualification, in a relevant discipline or equivalent wider experience.
Behaviours
We'll assess you against these behaviours during the selection process:
Developing Self and Others
Delivering at Pace
Working Together
Technical skills
We'll assess you against these technical skills during the selection process:
Technical Questions will be based around Person Specification at interview
Benefits
The Office for National Statistics is part of the Civil Service, and as such we share a number of key benefits with other departments, whilst also having our own unique offerings to support our 5000+ valued employees across the business.

Whether you are hearing about us for the first time or already know a bit about our organisation, we hope that the benefits pack attached (bottom of page) will give you a great insight into the benefits and facilities available to our employees, and our fantastic working culture.

We are an organisation that takes the well-being of its employees seriously and lives and breathes the desire to modernise the workplace of the future. Everyone, from our office-based staff in Newport, London and Titchfield, to our field interviewers and airports and ports passenger survey staff, are part of a diverse and inclusive family.


Inclusion & Accessibility
At ONS we're always looking to attract the very best people from the widest possible talent pool, and we are proud to be an inclusive, equal opportunities employer. As a member of the Business Disability Forum and a Disability Confident Leader we’re committed to ensuring that all candidates are treated fairly throughout the recruitment process.
As part of our application process, you will be prompted to provide details of any reasonable adjustments to our recruitment process that you need. If you would like to discuss any reasonable adjustments before applying, please contact the recruitment team in the first instance.
If you would like an accessible version of any of the attachments or recruitment documents below or linked to in this advert, please contact the recruitment team who will be happy to assist."
HR Data Scientist,Capgemini,"The Digital Employee Operations Command Centre team is composed of 25 people in 3 locations and supports over 10 HR clients. We have introduced the new path to digitally transform Business Services Command Center teams through smart, integrated and available technologies. Our team is modern, digital, fast, agile, analytics center. DEO Command Center is a crucial service that increases agility and innovation, allowing delivery teams to operate with greater efficiency and speed.
We pursue agility, competitiveness and excellence. We want to take our reporting expertise to the next level in order to support data driven decisions that help us transform and deliver first-class services.

The focus of your role
Experience in organising, collecting and interpreting information, including use of BI relevant tools (Microsoft PowerBI and others), knowledge of statistics, assessing quality of data, removing corrupted data, determine meaning of data, analysing trends. Presenting data in easy to understand and action formats.
What you’ll do
Build the data reporting and analytics function and processes for HR Operations function
Build the reports and dashboards in Microsoft Power BI
Designing and creating data models and support Power BI Data modelling
Support HR business initiatives by identifying necessary data sources, metrics and analytical methods
Develop, enhance and maintain business intelligence solutions
Streamline data collection process, reduce manual intervention and leverage technology
Support and design solutions for HR Operations teams, reporting and analytic needs;
Present data in a clear and straight-forward way.
What you’ll bring
Hands-on experience in reports & analytics
Hand- on experience in organizing, collecting and interpreting information, including use of relevant tools
Detail-oriented expert with a strong analytical skill
Ability to recognize and interpret business requirement and turn this need into technical solution
A self-starter and eager to learn new tools and technologies
Ability to clearly communicate technical details to business and working in close alignment with various stakeholders
Work independently and as part of a team to design and develop solutions
Demonstrating good organizational skills, work to tight deadlines in in fast paced environment
Basic knowledge of DAX language, Data Flows, Power Pivot, Power Query would be an asset
What we’ll offer you
Professional development. Accelerated career progression. An environment that encourages entrepreneurial spirit. It’s all on offer at Capgemini. And although collaboration is at the core of the way we work, we also recognise individual needs with a flexible benefits package you can tailor to suit you.
Why we’re different
At Capgemini, we help organisations across the world become more agile, more competitive and more successful. Smart, tailored, often-groundbreaking technical solutions to complex problems are the norm. But so, too, is a culture that’s as collaborative as it is forward thinking. Working closely with each other, and with our clients, we get under the skin of businesses and to the heart of their goals. You will too.

Capgemini positively encourages applications from suitably qualified and eligible candidates regardless of sex, race, disability, age, sexual orientation, gender identity, religion or belief, marital status, or pregnancy and maternity. We are committed to hiring, developing and retaining the best people to deliver innovative, world-class solutions for our clients. We foster an inclusive culture that enables everyone to achieve their full potential and enjoy a fulfilling career with us. Our comprehensive flexible benefits package and lifestyle policies enable our employees to balance their individual, family and work-life needs."
Data Scientist - Fully Remote Working Available!,Evolution Recruitment Solutions,"Data Scientist
Fully Remote Working Available!
Are you ambitious, hungry and keen to begin a new chapter in your career? We are looking for a Data Scientist to join our energetic and ambitious team.
We are a purpose-driven business. Everything we do stems from our desire to empower people worldwide to live their work dream, building their business from the ground up and becoming financially and professionally independent. We have become an invaluable resource for small businesses in the UK and outside, giving them access to expert freelance talent on-demand. So they can stay lean and flexible while growing.
Ideally, you’ll
Have good knowledge of python and SQL
Be familiar and have hands-on experience with some of the most common machine learning algorithms
Have a good understanding of relational databases and and hands-on experience with MySQL and Redshift
Be comfortable using Git
Have experience with Docker
Be comfortable using the most common services provided by AWS such as EC2 and S3
If you are interested in this opportunity please contact Dan Shannon at Evolution Recruitment or apply using your updated CV."
Insights Data Scientist,SoulTek,"SoulTeks client, a fast growing fin tech startup in London are looking for an Insights Data Scientist to join the team. This role is focussing primarily on taking large data sets and gaining insights for 3rd party clients. The data is truly massive and the possibilities it presents are just as big.
For this role the key skills you will need are:
Commercial experience working as a Data Scientist.
Data Visualisation experience
Python or R coding experience
Experience working independently and the ability to pick up new technologies quickly.
Ideally you will have worked with financial data before.
If this job sounds interesting to you please apply below.

Job Overview
Expiration date:
31st July 2020
Location:
London
Job Title:
Insights Data Scientist
Salary:
£45,000 - £60,000"
