Title,Company,Description
Junior Data Scientist,Novafutur,"This is an opportunity to become a Data Scientist\ML Engineer and to become an integral part of our team. Being a data scientist would require the ability to analyse big data sets coming from heterogeneous producers both in real time and offline, as well as to apply complex algorithms producing readable reports using BI tools and online KPIs integrated with operational systems. Our data scientist should be very good at working and communicating within an existing team and collaborate on a daily basis.
Responsibilities:
Ability to analyse big data sets coming from heterogeneous producers both in real time and offline.
Apply complex algorithms producing readable reports using BI tools and online KPIs
Creating machine learning tools to generate predictions and insights
Apply deep learning techniques in a commercial setting
Required Skills and Experience:
University degree in a scientific field (Maths, Statistics, Computer Science, Data Science)
Knowledge of Python and SQL
Knowledge of the following algorithms:
Linear and logistic regression
LDA
SVM
K-nearest neighbors
K-means clustering
Classification and Regression trees
Naive Bayes
Ideally Applicants have:
A high level of mathematical ability
Thorough grounding in statistics
Problem solving skills on high level
Methodical and logical approach
Accuracy and attention to detail
Natural passion for data analytics
If you feel you have the knowledge and skills to excel in this role, we would love to hear from you! Just click the ""Apply"" button and send us a message outlining why you would be well suited to the position."
Graduate Data Scientist,UK Government - Office for National Statistics,"As a Data Scientist you will:

Deliver insight from data using statistical and data science techniques, applying your skills in coding, mathematics and statistics.
Help government understand and tackle some of the key challenges facing society on topics such as the economy, health, urban future and the UK in a global context.
Access appropriate and analyse data sources required for the project.
Support the creation of innovative data products and services and be able to tell a compelling evidence based narrative of the project.

Responsibilities
We are looking for candidates with existing knowledge and experience of some or all of the following data science techniques:

Essential skills
Data analytics – such as statistical model selection, supervised/un-supervised/deep machine learning, network analysis, and natural language processing (NLP). Confident programming ability (R, Python or other data analysis relevant languages).
Data Management/curation – such as the manipulation and analysis of datasets held in relational and/or non-relational databases.
Data/Systems engineering – such as the implementation of algorithms in programming languages (like R or Python), SQL and noSQL database systems, statistical analysis languages and tooling.
Story telling and data visualisation – including the visualisation of insights drawn from data and building of data driven products.
Scientific research methods – analytical, independent, critical and curious analysis of data literature reviews.

Desirable skills
Examples of open source projects and contributions or Github profile.
Those with equivalent wider experience are also actively encouraged to apply.

Qualifications
A minimum of a 2.1 degree, or post graduate qualification, in a relevant discipline or equivalent wider experience.
Behaviours
We'll assess you against these behaviours during the selection process:
Developing Self and Others
Delivering at Pace
Working Together
Technical skills
We'll assess you against these technical skills during the selection process:
Technical Questions will be based around Person Specification at interview
Benefits
The Office for National Statistics is part of the Civil Service, and as such we share a number of key benefits with other departments, whilst also having our own unique offerings to support our 5000+ valued employees across the business.

Whether you are hearing about us for the first time or already know a bit about our organisation, we hope that the benefits pack attached (bottom of page) will give you a great insight into the benefits and facilities available to our employees, and our fantastic working culture.

We are an organisation that takes the well-being of its employees seriously and lives and breathes the desire to modernise the workplace of the future. Everyone, from our office-based staff in Newport, London and Titchfield, to our field interviewers and airports and ports passenger survey staff, are part of a diverse and inclusive family.


Inclusion & Accessibility
At ONS we're always looking to attract the very best people from the widest possible talent pool, and we are proud to be an inclusive, equal opportunities employer. As a member of the Business Disability Forum and a Disability Confident Leader we’re committed to ensuring that all candidates are treated fairly throughout the recruitment process.
As part of our application process, you will be prompted to provide details of any reasonable adjustments to our recruitment process that you need. If you would like to discuss any reasonable adjustments before applying, please contact the recruitment team in the first instance.
If you would like an accessible version of any of the attachments or recruitment documents below or linked to in this advert, please contact the recruitment team who will be happy to assist."
Machine Learning Engineer Graduate Scheme,Kubrick Group,"Would you love to explore a career in Data Science, Engineering or Analytics? If you are either a recent graduate or have at least 1 years’ commercial experience in an analytical role we would love to hear from you.
Kubrick Group is a specialist data consultancy with a twist. We hire a diverse range of junior professionals and graduates from across the country, we pay you while we train you in the latest data and business skills and then place you into industry-leading companies in a variety of different sectors. Through our training we will develop you into a highly skilled data consultant who can go onto becoming a leading expert in your field.
We work across all sectors and our projects have included helping retailers predict fashion trends, car manufacturers project sales of new models and even hospitals understand the real reason for the growth in patient numbers in their A&E departments.
If these sorts of challenges excite you Kubrick would like to hear from you as we are looking for our next intake of Machine Learning Engineers. Kubrick's Machine Learning Engineers assist our clients by extracting value from data by integrating deep knowledge from multiple disciplines such as mathematics, computer science and domain knowledge to draw meaningful insights, improve decision making, predict trends and increase efficiency within an organisation.
Embark on your exciting and challenging 15-16-week training period in our data labs in London and then get to work for one of our most exciting clients in the UK.
What you’ll do:
Immediately be paid to be trained by us, from the day you join. We fully prepare our people in our London data labs before they go on client site.
Be taught all the latest technology skills relevant to data challenges such as Python (including Numpy, Pandas, Scikit-Learn and PyTorch), SQL, Spark, Cloud Computing, NoSQL and DevOps.
Learn about the most industry relevant data science techniques - including machine learning models such as linear regression, random forests and deep neural networks.
Apply data science algorithms to solve practical real-world problems. Examples case studies include price prediction, image classification and sentiment analysis.
Receive soft skills training including office basics, communication skills, networking, career management, interview practice, transitioning to client site, etc. in addition to Q&As with our HQ Team, consultants on client site, Kubrick Alumni and Clients.
Learn from the best in the sector, our courses are designed by industry figure heads
Work as a consultant for Kubrick following your training and integrate yourself into a company’s data team with the option to join them permanently after your two years on client site.
Here are some examples of the projects we have worked on:
We have built chatbots to enhance customer experience
Complex dashboards with AI, for banking clients so they have greater information at their fingertips
Implementation of blockchain within the travel industry making transactions quicker and more secure
Created a data analytics database for computational chemistry as part of a wider data infrastructure for augmented drug discovery
Sentiment Engines built for retailers to better understand demand
Used Machine Learning and predictive modelling to foresee and solve potential customer problems before they happen for a telecommunications client
Improving health treatments and food nutrition for pets using Natural Language Processing on vets’ notes
We can use the above examples if you’d like but it would be good to have something more specific on what they could be doing on client site.
What we need from you:
Proven analytical and problem solving skills - we don't need any previous coding skills, just excitement to learn!
Team player - you have the desire to collaborate and share knowledge with your colleagues
Desire to work with data to help organisations improve efficiency and decision making
Strong interest for analytics, data and technology
Good communication skills, both oral and written
A strong work ethic and commitment to producing high quality solutions
Flexibility, a positive attitude, maturity and humility
Geographic flexibility; you must be able to attend training in London and then be placed either in London or around the UK.
Minimum degree requirements:
Educated to degree level with at least A level mathematics or statistics and minimum of 120 new (300 old) UCAS points
Master’s degree with preferably a strong quantitative component, though exceptional candidates with a Bachelor’s degree will also be considered
Salary:
£32,000 after commencing client project work, with a rise after one year of project work to £40,000
Job Types: Full-time, Permanent
Salary: £32,000.00 per year
Benefits:
Work From Home
Schedule:
Monday to Friday
COVID-19 considerations:
Some of your training will be remote, but you may need to also be within Commuting distance of our Southwark office.
Education:
Bachelor's (Required)
Work remotely:
No"
Junior Data Scientist - London,Echobox,"Echobox has access to very large granular private data sets and is currently only using a small part of this in end user products. You will work closely with our CTO to help push the boundaries of what the Echobox Artificial Intelligence is capable of achieving with this data.
Key Responsibilities
You will contribute to the development of prototypes that can be turned into end user products by the core development team.
You will assist in the customisation of the product for new customers and trial data analyses where required.
You will stay up to date with the latest advances in ML and AI.
About Echobox
We are a fast-growing, research-driven company building an artificial intelligence that helps online publishers overcome the challenges they face every day. Using novel machine learning techniques, we are revolutionising the publishing industry and have a track record of building things that others have ruled out as impossible. Leading names from around the world rely on our product every day, including The Times, Le Monde, The Guardian, Vogue and many more.
Our team is our best asset. We work with extremely smart and talented individuals, who all enjoy a high degree of responsibility and independence in structuring their work. To get a better insight into the kind of work we do, check out our open-source project on Github, our data showcases and our YouTube content on Microservices.
Do you think you have what it takes to be part of Echobox? We'd love to hear from you.
Requirements:
Minimum Academic Qualifications
2.1 degree in a STEM subject from a top tier university.
Required Skills and Experience
Fluent written and spoken English
A very strong understanding of classical statistics
A basic knowledge of different ML and AI methodologies and the desire to become an expert
Strong background in a programming language suitable for analyses (e.g. R, Python, Java, C#, C++)
A familiarity with Java (SE7+) and a desire to become an expert
An ability and desire to learn new skills quickly
Genuine passion for making the impossible possible
Preferred Skills
Strong knowledge or experience in one area of ML and AI.
Experience developing software as part of a team, e.g. DVCS, open source software projects.
Working knowledge of big data architectures, i.e. NoSQL, Hadoop etc.
Benefits:
Our employees enjoy free breakfast every day, coffee, drinks and snacks all day, everyday. Every Wednesday, we order food for our weekly team lunches where everyone gets together for an hour of fun. We have monthly team events (dinner, bowling, karting, poker nights, board-games etc.) for our team to get to know each other outside of work. Professionally, we host in-house conferences and an annual summer camp for all our global employees who are flown to and hosted in London. We ensure that all our employees also get pension contributions, the latest tech, generous annual leave and an amazing office with a balcony overlooking Notting Hill."
Junior Python Data Engineer/Scientist,Inspiring Interns,"Information on the company
Our client is subsidiary of a multi-award-winning sports betting company in London. They’re a highly focused team built up of Mathematicians, Statisticians and Computer Scientists at the top of their field, who utilise advanced statistical methods in order to predict the outcomes of future events.

This is a permanent position paying £35-45k per annum, based near Kings Cross, London.

The Role:

This is a junior python data engineer/data scientist position. The role will require solid programming abilities and above all a strong willingness to learn. This is a unique opportunity to build an understanding of the development and maintenance of systematic trading/betting strategies at an early stage of your career. Your work will be essential as you will share the responsibility of running systematic betting strategies.

The team being very small, you will need to be autonomous and able to learn most things on your own. You will have the freedom to try your own ideas and you will be accountable for their performance. The role is only suitable for fast learners as a lot will be asked from you. We guarantee you that you will be intellectually challenged, learn a great amount and have significant impact on the performance of the team.

Key responsibilities:
Turn existing systematic betting strategies to production (main focus)
Create the data storage architecture
Set up robust automation processes
Improve code design and efficiency
Help with the design of betting strategies (secondary focus)
Essential skills:
Strong python development skills including experience working with numpy and pandas
Database management skills
Proficient using Linux and shell scripting
Familiar with Git
Good grasp of basic statistical concepts (probability distributions, regression analysis, hypothesis testing)
Excellent communication skills and ability to pitch and defend his/her views and ideas in front of the team and senior management
A strong interest and curiosity for process automation and investment strategies
Ideally you have an interest in betting/ finance or trading – this can be a demanding position, so some passion for the industry really helps
What are the perks of working at this company?
You’ll be working on some really rewarding projects- with a lot of responsibility from the outset
We’re based in a boutique shared workspace in a fantastic location
Casual office with flexible working hours
Plenty of opportunities to progress and upskill within the business
A really rewarding bonus scheme, based on company performance
* No cover letters, please just submit your CV to be considered*"
Junior Data Scientist (X3),Quintex Consulting,"Our client is a household name in the energy sector. They currently have a need for a Junior Data Scientist in their exciting new team which aims to bring Renewable Energy and AI together to create cheaper and more efficient energy to their customers.

The successful candidate will be shadowing a senior Data Scientist along with two of other candidates. The team currently consists of 3 Senior Data Scientists and one lead Data Scientist.

Responsibilities:
Working with team and developers to improve data visualisation & reporting
Develop predictive models and algorithms, such as budget forecasting
Mine large & growing volumes of data from 3rd party tech vendors
Find actionable insights to drive ongoing improvements and fuel business growth across markets
Guide next steps at various points in product lifecycle
Detect market opportunities
Key Requirements:
Knowledge of Python and PySpark, in particular packages such as Pandas, Numpy, SciPy, Matplotlib (or equivalent).
Experience selecting, developing and refining machine-learning models.
Knowledge and/or interest in Natural Language Processing.
Demonstrable proficiency in statistical data analysis and data visualisation.
Experience handling varied and complex data sources to draw accurate and insightful conclusions.
A desire to work with Big Data technology, as well as with Graph databases would be an advantage.
Confidence to proactively build relationships with both internal teams and external vendors, and ability to communicate effectively with both technical and non-technical audiences.
Self-starting attitude, ability to thrive in an autonomous environment.
Experience: 1.5 years or more"
Graduate Software Engineer,ComplyAdvantage,"Description
We are looking for a talented graduate Software Engineer to help us build our SaaS-based anti-money laundering solutions, which help organizations fight financial crime. We are building cutting edge solutions that help reveal the truth for a safer world and stop money ending up in the hands of terrorists. You will join the Knowledge Graph team and will help develop innovative solutions to ingest, handle and link large data volumes.

About us
Since launching in 2014, we have been on a mission to fight financial crime on a global scale. In that time, we have raised over $35m in funding, opened offices in New York, Singapore and Romania, and have grown to over 250 employees, and we're not stopping there!
We aim to grow to over 350 employees in the next 12 months, as we continue to fight the good fight against financial crime and help make compliance less painful for our client base of over 450 customers across 45 different countries. We're leveraging game-changing tech to help us on our mission, building our platform around AI, Machine Learning and Linked Data, meaning that our platform is unrivalled in its capabilities.
No fight against crime is complete without the right values, and we take ours very seriously!

Focus on the Team - We're Collaborative, Human, and Humble
Kaizen - We're Curious, Proactive and Agile
Deliver Results - We're Tenacious, Accountable and Focused

We can only defeat financial crime if we have the right people with the right values in place to do so, and we're committed to investing in passionate people who are experts in their field. Our culture and working environment is second to none - Don't believe us? See what our employees have to say on Glassdoor

The Role
We are looking for a newly graduated Software Engineer to join our Knowledge Graph team. You'll get involved in delivering the innovative Knowledge Graph platform contributing to:
The delivery of Data Ingest pipelines - to transform, standardise and enrich various data sources into graph format to be loaded into a Graph Database.
The delivery of other components within the Knowledge Graph platform in production-ready standards, such as publishing pipeline, monitoring and reporting.
The deployment of components running in a cloud-deployed microservices architecture.

What does success look like after 3 months?
You will have contributed to the Data Ingest pipeline, enabling us natively ingest RDF graph data.
You will have contributed components within the Knowledge Graph platform enabling us to effectively manage our ""source of truth"" in a graph native format.
You will have developed a strong understanding of the underlying systems and infrastructure that support our knowledge graph platform, and will be capable of maintaining and configuring this infrastructure (K8S, Kafka, GraphDB)

The Requirements
We're looking for a smart and motivated individual that takes pride in their work and contributes to an informal working environment. You will be confident in your ability to deliver on the points covered above, taking into account the following:
Whilst this position will require you to work in JVM-based languages (Java and Kotlin), previous experience is not required - if you've got experience in Python, C++, C# or .NET and are willing to switch languages, then we'd love to hear from you.
Very good knowledge of data structures, algorithms, complexity and optimisation strategies.
An understanding of code development principles and practices, including source control, code reviews, testing is nice to have but as this is a graduate position these skills are not essential.
Bachelor degree-level education in Software Engineering, Computer Science, Mathematics or another relevant degree.

Benefits
The benefits of working at ComplyAdvantage include the below;
Competitive salary
Stock options
25 days' holiday
Flexible working hours, and remote working opportunities
Company Pension Scheme
Company Health Care Plan
Travel season loan ticket
Cycle to work scheme with Evans Cycles

ComplyAdvantage celebrates diversity in our teams, and welcomes applications for all backgrounds."
Junior Product Software Engineer,PredictX,"Do you enjoy being at the forefront of technological innovation? Would you like to write the code today that will create the applications of tomorrow?

PredictX is on a mission to help business leaders make better decisions. Trusted by some of the world’s biggest brands, our advanced software solution uses AI and machine learning technology to automate tactical tasks and empower strategic decisions.

Our business model is rooted in research and development - providing a rich learning experience to our employees. We are headquartered in London with offices in Spain, Poland and the USA. We are hiring for this role in our 4 offices.

Currently, we are looking for a new Junior Product Engineer to help us build and design our new generation platform. The ideal candidate is a team player - bringing their own unique ideas to the table. Working closely with our DevOps and Project Management teams, they will be tasked with evaluating and making optimal use of new technologies in order to develop high-quality, testable and performant software.
Key responsibilities
Develop high quality software
Contribute towards the creation and maintenance of our new generation platform
Contribute to the technical direction of the team
Apply best-in-class software development practices
Work closely with product owners, designers and rest of the team to quickly iterate on features and products
Strive for continuous improvement within the team
Education and experience
Development experience
Some experience with frontend and backend development
Agile software development, ideally in large agile projects
Development of SaaS solutions
Bachelor of Sciences degree, ideally specialising in Computer Science or a related technical field.
Equivalent practical experience will be considered.
Skills
Eager to learn
Good development practices
Custom Javascript/java/python solution coding
Custom visualisation creation (with Javascript) with third party libraries
Strong attention to detail with an eye for UX and product design
Can use version control systems with confidence (Specifically but not limited to GIT)Problem solving and analytical skills
Most importantly, the ideal candidate should be passionate about their work and committed to helping their team improve in a fast-paced and dynamic work environment. At PredictX we collaborate strongly and our close working relationships are key to our successes, we are looking for a candidate who can integrate well into this dynamic."
Junior 3rd Line Support Engineers,3rd Line IT,"***Please only apply if you are within 45 minutes commute from Wimbledon***
SKILLLS WE ARE LOOKING FOR: Windows Server, Exchange, Virtualisation, Network, Firewalls, Microsoft Cloud Suite and occasionally Mac OSX.
IMPORTANT: If you have previously applied for this job - do not re-apply please.
We are part of a group of companies providing high-class support to a variety of clients from charities through to film companies.
We are looking for Junior 3rd line IT Support Engineers who not only have good technical skills but also know how to apply them to our clients whilst being able to explain technical problems in a way our clients will understand.
Parts of the group have been servicing clients for over 15 years and we know the best engineers do not want to be tied to a desk and are looking for new skills all the time! With multiple vendor solutions from Desktop to Cloud we can provide the challenges that will keep you learning.
We, unfortunately, only accept engineers with good grounding in technology and generally a minimum of 36 months of experience. Also a good command of English both written and spoken please.
We try and recruit direct as this way we can pass on the benefits of lower recruitment costs and you would be eligible for a 10% bonus at the end of your first year of service.
3rd Line Level Engineers (should be able to)
· Setup Site-to-Site VPNs
· Troubleshoot Network failure
· Clean up complex viruses
· Setup virtual machines from scratch
· Configure Firewalls
· Setup a printer on a Mac
· Write GPOs and troubleshoot
· Have good understanding of network security
· Have build a Windows server from scratch with roles or migrated one in a production environment
· Have a good understanding of Microsoft’s Cloud suite
Note: The quality of experience is more important than years! You must be able to demonstrate that you have worked on your own initiate.
The advertised role is customer-facing, technical and varied.
Role will involve occasional site visits around London (approx. 90% office-based at the moment).
If you share our passion for technology, why not send us your CV and tell us what sort of position you are looking for.
Expected package range £30,000 to £34,000 although we would consider candidates looking outside this range if either they demonstrated the ability to grow into this role or offer skills above and beyond this role with 22 days’ holiday increasing with length of service.
GDPR – Note you agree we can hold your details for up to 2 years after which we can keep a summary of an actions we have taken with your CV for evidence of our open processing for a further 3 years.
Please respect our time and only apply if you fit the description as your application will be discarded if no relevant skills.
Job Types: Full-time, Permanent
Salary: £30,000.00 - £34,000.00 per year
Experience:
IT Support : 3 years (Required)"
Junior Data Engineer,Gamesys,"The Role
Gamesys has an exciting role for a Junior Data Engineer within our Data team. You will be an important part of advancing our Data and Analytics platform and will be primarily focused on driving real change within our Acquisition Marketing area. The AdTech space is an exciting and fast growing area that is built on data and there are huge opportunities for us to explore and improve.
We're looking for a hands-on engineer with a passion for data to work alongside other developers, architects and machine learning engineers in an agile environment. You will be working in a small multi-talented team that is focused on acquisition marketing while being part of a larger Data team which drives multiple areas in the business.
You will work with scrum team members delivering elegant solutions and troubleshooting difficult problems. You will work with massive data sets and learn to apply the latest big data technologies on a leading edge platform. We are dedicated to moving to the Google Cloud Data Platform and are keen to have someone who will help us explore the possibilities that this brings. This involves working with Big Query, batch and streaming pipeline technologies and various integrations with 3rd party data platforms within the MarTech world and beyond.
Key Responsibilities
Understanding the business, with particular attention to Acquisition Marketing ensuring analytical needs and reporting requirements of the business are met
Coding elegant solutions which are reusable and easily maintainable
Attending stand-ups with key stakeholders – communicating the status of development and raising any potential risks as early as possible.
Producing clear and concise documentation where required.
Attending appropriate technical training
Continuous learning from a technical and business perspective
Sharing technical knowledge with other members of the Data Engineering Team.
Cultivating an understanding of the Gaming industry and playing our games to appreciate the players' experience and the context for our data solutions
Competencies and experience required:
Minimum
An understanding of data warehousing concepts, principles and best practices
Experience working in agile environment
A working knowledge of databases and Excel
Has demonstrated self-motivation/pro-activeness on a previous role
Self starter with strong communication skills. Able to translate technical descriptions into something that can be understood by a non-technical business-facing team member
Very numerate and analytical with exceptional attention to detail
Must be able to reconcile data with a keen eye for accuracy
A problem solving mindset with strong diagnostic skills and an ability to ask effective questions
Adaptable and flexible with an ability to multitask
Ability to pick up various coding languages through self service training.
Desirable Experience
Experience with Cloud Platforms, preferably Google Cloud Platform and BigQuery
Knowledge of the MarTech/AdTech world
Practical experience with Python or Java is a plus
SQL/Procedural SQL/Data Warehousing experience
Using Docker containers
An interest or experience in the gambling industry
DB2 experience"
