Title,Company,Description
Data Scientist Lead,"JPMorgan Chase Bank, N.A.","Position Overview & Responsibilities:
This is a leadership position in the HR Data Science team with responsibility to design, plan, and execute on a cross-functional book of work. This position, reporting to the Head of Data Science, will be tasked with:
identifying and investigating areas of new opportunity for advanced analytics in the HR space
supporting and expanding existing data products via experiment design, storytelling, and partnership with Finance, Technology, and business executives
team leadership and individual contribution to a variety of projects and products focused on integrating ML and NLP within HR and business processes
Candidate Profile
The ideal candidate will demonstrate skill in client engagement, team leadership, and creative problem solving. They will possess significant technical knowledge and experience with natural language processing, particularly text pre-processing, word embedding, and topic modeling. S/he will also be skilled in predictive model development and in communicating technical subject-matter to a variety of audiences.
In addition to strong technical skills, the ideal candidate will be innovative, self-motivated, and inclined to create genuine business value through the alignment of technology, data, and business interests. Strong communication skills and teamwork will be vital to success, as many high value opportunities require partnership with multiple business and functional groups across the firm.
Key Responsibilities
Partner with HR executives, business leaders, and functional groups to develop and advance the HR data science agenda
Build innovative models, tools and applications to solution new opportunities with ML and NLP
Lead and partner with data scientists, analysts, and engineers on the team and in aligned support functions to deploy, maintain, and scale models as integrated data products
Design and support experiments to quantify business value
Translate research to actionable insights and clearly communicate results to business owners
Connect with other analytics groups to share and review work, tools, methodologies and results
Requirements
B.S. in Computer Science or a quantitative field preferred
Significant programming experience required, Python preferred
Familiarity with NLP, classification modeling, and network analysis preferred
Experience with experiment design is desired
Strong communication skills and a team-oriented attitudeJ.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs."
Data Scientist – Team Lead,SoulTek,"Job Overview
Expiration date:
22nd June 2020
Location:
London
Job Title:
Data Scientist – Team Lead
Salary:
£75,000 - £95,000"
Senior Statistician - Machine Learning - Innovative Biopharm...,Warman O'Brien,"Senior Statistician - Machine Learning - Innovative Biopharma
I am seeking a Senior Biostatistician for a forward-thinking Global Biopharma company with a promising pipeline including several novel molecules. They have an extremely innovative culture where you matter, and that encourages people to bring forward new ideas. Concentrate on Big Data, Machine Learning and MI but covering all aspects of clinical analysis.
They are looking for a statistician to provide insights into how Big Data methods can be used to improve clinical development.
Desirable Experience
Strong experience in R/Python
Experience in Machine Learning/AI
Experience of Big Data methodology
How will you be a success?
Provide expert statistical input across all stages of analysis, leading one or more biomarker or big data projects
Improve decision making by developing and maintaining advanced predictive models
Work collaboratively with multi-disciplinary teams
Provide novel statistical methods using Machine Learning and AI
You like to work in an environment where you can:
Be extremely focused on the patient. The environment is heavily based on innovation and you will be encouraged to learn and implement new ideas. You will be given plenty of responsibility in a nurturing environment where you matter.
Culture:
There is a strong emphasis on innovation, collaboration and impact whilst still offering a motivating, friendly and flexible work environment that values their employees.
What do you get in return?
Opportunity to gain novel insights to drive decision making in clinical development
Ability to research and implement new statistical/Big Data methodology
Leveraging Big Data to make strategic insights to improve clinical development
Industry leading salary, annual bonus, car allowance and Long Term Incentive Plan
Your ideas to be heard and implemented
Reference ID: AW002
INDEU
Job Types: Full-time, Permanent
Salary: £58,000.00 - £66,000.00 per year
Benefits:
Company Pension
Flexible Schedule
Profit Sharing
Work From Home
Experience:
statistician: 4 years (Preferred)
Machine Learning: 1 year (Required)
Education:
PhD (Preferred)"
Data Scientist - Machine Learning - Junior to Senior,SoCode,"Junior - Senior Data Scientist
£35,000 - £90,000 + shares
SoCode have partnered with one of the best AI companies in the UK as they continue to develop their award-winning software. This company have been rated in the top 150 best AI companies globally and have won multiple awards.
Machine learning and data science is at the core of their business and they require exceptional data scientists to come and work as part of their established data science team in central London. This is a customer facing role with plenty of opportunity for career progression.
Essential Experience:
STEM Degree in a highly numerate subject from a Russel group university
Python Experience
Experience applying ML algorithms to real world data
Experience implementing statistical models and algorithms in software
Desirable Experience:
Masters / PhD
Experience with data mining and the analysis of large data sets
What’s on offer

- Extensive benefits package
Above market salaries
Quarterly bonus scheme
If you would like to hear more about this position please contact tom@socode.co.uk. Due to the nature of the position we expect this to generate a lot of interest. Please do not hesitate when applying as remote interviews will be conducted imminently.
Additionally, we offer a competitive referral package, if you know of anyone who might be interested please put them in touch."
"Senior Analyst, Analytics (Digital)",John Lewis & Partners,"Duties & Responsibilities

We are reinventing our business for the modern retail world. Our Strategy area for the Partnership will ensure that all of our customer data and insights are used to define where we'll play, how we'll win and what we prioritise to ensure that the strategic direction of our business is clear and unambiguous. We are looking for a Senior Analyst who can work across teams, is self motivated and strives for continuous improvement.

What's the role about?

This role is to support the Waitrose.com team through the application of Analytics in the digital space. In order to do this, you will need to work closely with them, getting close to their world; hearing their problems and spotting the opportunities to improve things. This is very much a hands on role where you can utilise your technical skill set.

In light of the current situation, this role will temporarily involve a mixture of working from home as well as in the office environment. Therefore it's key that you have access to a suitable working environment if at home, away from any distractions and your own secure wifi connection.

Why do our insight people love working for us?

As part of the insight team you will be at the heart of the Partnership. You will be working within a wider Insight team with almost 100 bright, driven and energetic professionals pulling in one direction to support this unique business through analytics, data science and research. Your positive, can-do attitude will fit right in!



Job Requirements

What will you be doing?

You will have a sound knowledge of Google Analytics as this is a critical requirement of the role alongside a solid footing in SQL. You will be confident and comfortable working in a digital environment so you will have a good understanding of digital data and the associated terminology and methods. It is likely you will support a variety of areas across our .com operations from more strategic work to Trading and Digital Optimisation.



Required essential experience skills and qualifications

What you'll have

Relevant qualification and/or extensive analytically-based experience using customer and transactional databases
Experience of synthesising complex and ambiguous information in order to drive actionable insight brought to life through communication and visualisation
Experience of coding in SQL. Also experience of SAS, R, Big Query or other programming or statistical languages



Required desired experience skills and qualifications

What else you could bring?

Commercial acumen e.g. online or shop trading, business consulting
An innate curiosity about how customers engage with, and shop, retail
Technical skill, knowledge and experience in the use of Big Data, data visualisation, data manipulation and enterprise reporting techniques and tools

Please note:

We occasionally close vacancies early in the event we receive a high volume of applications. Therefore, we recommend you apply early
This role can be based in either our of Partnership locations: Bracknell or Victoria, London with travel between the two

Internal use only:

#LI-JLPGR
#LI-JC2

What else you could bring?

Commercial acumen e.g. online or shop trading, business consulting
An innate curiosity about how customers engage with, and shop, retail
Technical skill, knowledge and experience in the use of Big Data, data visualisation, data manipulation and enterprise reporting techniques and tools

Please note:

We occasionally close vacancies early in the event we receive a high volume of applications. Therefore, we recommend you apply early
This role can be based in either our of Partnership locations: Bracknell or Victoria, London with travel between the two

Internal use only:

#LI-JLPGR
#LI-JC2"
Senior Data Scientist,Tesco,"About the role
At Tesco, our Data Science team focuses on modelling complex business problems and deploying data products at scale. Our work spans across multiple areas including physical stores, online, supply chain, marketing and Clubcard, where we encourage rotation amongst our Data Scientists so they can gain expertise in different subjects.

We work on several domains and problem types: online, pricing, security, fulfilment, distribution, property, IoT and computer vision are just some. Our team members spend 10% of their week on learning and personal development. Multiple academic collaborations enrich the team expertise; knowledge-sharing events are regular. Furthermore, we have got a great work-life balance, team days and relaxed but engaging culture.

You will be responsible for
This is a hands-on position where you will need to leverage your analytical mindset to find solutions to complex problems. As a Senior Data Scientist, you will need to understand difficult business problems and prototype solutions with minimal support. Apply, modify and design algorithms and mathematical models to solve business problems on top of big data architectures (Hadoop, Spark) is a core component of the role. Our data scientists will need to be able to validate, document and present the modelling process and performances, as well as communicate complex solutions in a clear, understandable way to non-experts. Data Scientists are also responsible for promoting data science across Tesco and promote Tesco across the external Data Science community. Finally, as a Senior Data Scientist, you will be expected to drive innovation and take ownership of aspects of the project development, help the Data Science Manager and the Product Manager manage the relationships with the business stakeholders and mentor/supervise junior members of the team and/or interns.

You will need
We are looking for ambitious individuals with a mix of statistics, programming and machine learning skills. The role requires that you have an extensive background in machine learning and data mining. A track record in modifying and designing advanced algorithms and applying them to large data sets is essential. Some project and stakeholder management experience is preferred.

An ideal candidate will have a scientific mentality with the ability to ask the right questions, as well as answer them. A strong numerical higher degree in a mathematical, scientific, engineering or computer science discipline is preferable, as well as a solid understanding of mathematics and statistical principles.

Experience in one or more of the following fields is required: predictive modelling, operational research, deep learning, time series modelling and recommender systems.

Finally, strong programming skills are essential (Python is preferred) as well as familiarity with SWE best practices (such as version control, unit testing, CI/CD) and big data & cloud technologies (PySpark is preferred).

About us
Our vision here at Tesco is to become every customer's favourite way to shop, whether they are at home, out shopping, on the move, anywhere in the world.

In order to enable our vision, we strive to simplify operations for our Colleagues, Partners & Vendors to enable efficient trade.

Everything is underpinned by our continuous drive for the best tools and technology to deliver our vision. We’re driving innovation and transforming our Technology to become the world’s leading retailer.

We need people who share our ambition to deliver for our stakeholders. Passionate and confident people willing to take the initiative and drive us forwards. In return, we offer excitement, a great team, an excellent benefits package, and significant career development opportunities.

Joining us means playing a part in defining; building and launching an ambitious roadmap of digital products that could affect the lives of millions of people over the years to come."
Senior Data Scientist,Kainos,"Our people love the exciting and meaningful work they do, the cutting-edge resources and technology they have access to, the benefits we offer and the great community we’ve built. Want to join them?
Kainos is at the forefront of helping organisations with their digital transformation journey. Central to this is unlocking the value in customers data using a wide variety of Data Science techniques. Senior Data Scientists apply their skills in quantitative analysis, data mining, machine learning and data presentation (storytelling) to see beyond the numbers. This helps customers understand how they can use their data to better understand risk and unlock new opportunities and efficiency savings.
Most of our work comes through repeat business and direct referrals, which comes down to the quality of our people. The success of our Data Engineering and Data Science teams means that customers are bringing us an increasing number of exciting data projects using cutting-edge technology to solve real-world problems. We are seeking more high calibre people to join our Data & Analytics capability where you will grow and contribute to industry-leading technical expertise.
Minimum (essential) requirements
Essential Experience:
Highly numerate background with an advanced degree in an analytical discipline (Computer Science, Mathematics, Physics, Statistics) and a deep understanding of statistical methods/approaches and machine learning algorithms.
Substantial programing experience in one or more data science languages e.g. R, Python, applying best practice to code management.
Experience in delivering analytical solutions from inception, through Proof of Concept and into production. Able to work with customers to quickly identify their analytical needs and deliver data science products. Able to explain findings and techniques to a non-technical audience. Can influence customers and internal teams through demonstration of data analytics capability and technical evangelism; suggests areas for further investigation.
Able to cleanse, filter and re-factor complex data from different sources (including non-traditional data sources) to achieve the analysis goal.
Comfortable working with Relational databases, NoSQL, and various visualisation techniques.
Desirable Experience:
Ability to create or optimise algorithms for use in distributed, high-volume scenarios.
Has enabled up-skilling by spreading best practice to customers, engineering teams and junior colleagues. Has helped to define and enforce quality standards in analytical output.
Kainos is a professional services organisation with clients spread across the globe and we deliver projects both from client site, and from our offices. While we will attempt to base you on projects near or at your contracted office location, you need to be willing to travel to client sites and spend time away during the week if it is required.
Given the range and nature of work that we carry out for our clients, all Kainos employees are required to possesses up to date security clearance (Basic Disclosure, Access NI etc), if you do not already possess this, you will be asked to apply for it prior to joining Kainos.
Everyone who is offered a position here undergoes a background check; whether a criminal record excludes you from a career with Kainos depends on the role and the offences."
Senior Data Scientist,Holland & Barrett,"Do you want to make a difference by being part of a next-generation data processing and analytics platform in the cloud in a greenfield environment? Holland and Barrett are a successful business focusing on making people healthier and happier. We started in 1870 and today, we are a highly profitable global Health and Wellness retailer with more than 1,000 shops worldwide, and we are the largest health and wellness retailer in the UK.

You will join the Data Science and Analytics team in London. You will work closely with Data Engineers and Business Stakeholders to deliver products ranging from topics like supply chain optimisation to loyalty schemes. Long-term, you will collaborate on optimising and automating the Data Science workflow to build the basis for our prescriptive analytics or artificial intelligence strategy where self-optimising solutions make independent, intelligent decisions.

Holland and Barrett are committed to its transformation into a technology and data-driven business. We hired an outstanding CTO with a long history of success in turning retailers into technology-driven businesses. We are bringing together highly talented and experienced people like yourself to build our data processing and analytics platform. We love the cloud, data, analytics and data science, and building our own solutions. We embrace the continuing evolution of Data Science and want to be at the forefront of building repeatable, automated Data Science and Machine Learning solutions to reduce or remove the Data Scientist's efforts on time-consuming, low impact, repeat tasks.

You have experience in solving real-world problems with machine learning using a variety of tools. You know how to solve a problem as well as how to deploy it into production, measuring and updating it as needed over time. You love working closely with data engineers and others in cross-functional teams to develop solutions iteratively. Importantly, you are pragmatic and experienced, able to identify and solve common problems swiftly and effectively with tools and libraries and you don't reinvent the wheel.
The Person
Key Accountabilities
Business
Collaborate with business and other stakeholders.
Communicate complicated results in a clear, non-statistical way to stakeholders.
Identify quick wins and long-term opportunities.
Help plan delivery.
Converting Business problems into Data Science projects.
Data
Exploration and ad-hoc preparation.
Feature engineering.
Collaboration with Data Engineers for automation or additional ingests.
Machine Learning
Define metrics and measures.
Identifying relevant algorithms and libraries.
Selecting candidate algorithms based on experience and knowledge.
Prototyping solutions to narrow options and parameters.
People Skills
Resilient
Open minded
Collaborative
Supportive
Positive
Conscientious
Fun
Technical Skills
Minimum 3 years of experience in a comparable role.
Analytical background and degree, e.g. Math, Data Science, etc.
Essential skills and experience
Data querying with Python or R and SQL
Proficient in R or Python
Supervised and unsupervised machine learning
Spark (SparkR / sparklyr or pyspark)
Statistics
Packaging Code
Git
Building / Maintaining Automated Production Systems
Beneficial experiences
Software Development practices
Cloud Computing
Distributed Computing
AWS (SageMaker, Airflow, Kafka, etc.)
Machine Learning for Streaming Data
Retail sector
Management Experience
#LI-NP1
The Company
Holland & Barrett is one of the nation's most loved and trusted brands, known for offering quality health food, vitamins and supplements all sold by highly trained and qualified advisors.
Bucking the current trend of high street retailers, we forecast significant growth and expansion plans in the coming years, with considerable investment going into all areas of the business. We certainly embrace change and drive speed in everything we do. Every day presents a different challenge, but every day is also filled with fun, teamwork and passion to succeed and surpass every expectation.
Join us and see how far you can go…"
Senior Data Scientist,COLLAB. Recruitment Ltd,"Senior Data Scientist


The Company
Do you want to make a difference by being part of a next-generation data processing and analytics platform in the cloud in a greenfield environment? Our client is bringing together highly talented and experienced people to build their data processing and analytics platform. They love the cloud, data, analytics and data science, and building their own solutions. They embrace the continuing evolution of Data Science and want to be at the forefront of building repeatable, automated Data Science and Machine Learning solutions to reduce or remove the Data Scientist's efforts on time-consuming, low impact, repeat tasks.
The Person
You will work closely with Data Engineers and Business Stakeholders to deliver products ranging from topics like supply chain optimisation to loyalty schemes. Long-term, you will collaborate on optimising and automating the Data Science workflow to build the basis for their prescriptive analytics or artificial intelligence strategy where self-optimising solutions make independent, intelligent decisions.
You have experience in solving real-world problems with machine learning using a variety of tools. You know how to solve a problem as well as how to deploy it into production, measuring and updating it as needed over time. Importantly, you are pragmatic and experienced, able to identify and solve common problems swiftly and effectively with tools and libraries and you don't reinvent the wheel.
Key Accountabilities
Business
Collaborate with business and other stakeholders.
Communicate complicated results in a clear, non-statistical way to stakeholders.
Identify quick wins and long-term opportunities.
Help plan delivery.
Converting Business problems into Data Science projects.
Data
Exploration and ad-hoc preparation.
Feature engineering.
Collaboration with Data Engineers for automation or additional ingests.
Machine Learning
Define metrics and measures.
Identifying relevant algorithms and libraries.
Selecting candidate algorithms based on experience and knowledge.
Prototyping solutions to narrow options and parameters.
Technical Skills
At least 3-5 years production level experience in a comparable role.
Analytical background and degree, e.g. Math, Data Science, etc.
Essential skills and experience
Data querying with Python or R and SQL
Proficient in R or Python
Supervised and unsupervised machine learning
Spark (sparkR / sparklyr or pyspark)
Statistics
Packaging Code
Git
Building / Maintaining Automated Production Systems
Beneficial experiences
Software Development practices
Cloud Computing
Distributed Computing
AWS (SageMaker, Airflow, Kafka, etc.)
Machine Learning for Streaming Data
Retail sector
Management Experience"
Senior Data Scientist,Reqiva Ltd,"The Role
This role is looking for a senior data engineer, or knowledge engineer, to analyse complex Agrifood Data systems to solve market-facing problems. You must be well versed in Python, R, Pattern recognition and data visualisation tools.

The Client
My client is a UK leading Agrifood analytics company, with offices in Harpenden and Reading, seeking to empower the UK Agrifood industry through the power of big data and advanced analytics.

Essential Skills
Must have background in data science within a complex domain
Must be highly specialised in one of the following:
Neural Language Processing
Predictive Analytics
Patterns or anomalies
Highly proficient in Python, R and Tensorflow
Knowledge of data visualisation tools e.g. PowerBI, Tableau
Work in a Cloud drive environment in Azure or AWS

To be considered for this role click the Apply button now!"
