Title,Company,Description
Machine Learning Engineer Graduate Scheme,Kubrick Group,"Would you love to explore a career in Data Science, Engineering or Analytics? If you are either a recent graduate or have at least 1 years’ commercial experience in an analytical role we would love to hear from you.
Kubrick Group is a specialist data consultancy with a twist. We hire a diverse range of junior professionals and graduates from across the country, we pay you while we train you in the latest data and business skills and then place you into industry-leading companies in a variety of different sectors. Through our training we will develop you into a highly skilled data consultant who can go onto becoming a leading expert in your field.
We work across all sectors and our projects have included helping retailers predict fashion trends, car manufacturers project sales of new models and even hospitals understand the real reason for the growth in patient numbers in their A&E departments.
If these sorts of challenges excite you Kubrick would like to hear from you as we are looking for our next intake of Machine Learning Engineers. Kubrick's Machine Learning Engineers assist our clients by extracting value from data by integrating deep knowledge from multiple disciplines such as mathematics, computer science and domain knowledge to draw meaningful insights, improve decision making, predict trends and increase efficiency within an organisation.
Embark on your exciting and challenging 15-16-week training period in our data labs in London and then get to work for one of our most exciting clients in the UK.
What you’ll do:
Immediately be paid to be trained by us, from the day you join. We fully prepare our people in our London data labs before they go on client site.
Be taught all the latest technology skills relevant to data challenges such as Python (including Numpy, Pandas, Scikit-Learn and PyTorch), SQL, Spark, Cloud Computing, NoSQL and DevOps.
Learn about the most industry relevant data science techniques - including machine learning models such as linear regression, random forests and deep neural networks.
Apply data science algorithms to solve practical real-world problems. Examples case studies include price prediction, image classification and sentiment analysis.
Receive soft skills training including office basics, communication skills, networking, career management, interview practice, transitioning to client site, etc. in addition to Q&As with our HQ Team, consultants on client site, Kubrick Alumni and Clients.
Learn from the best in the sector, our courses are designed by industry figure heads
Work as a consultant for Kubrick following your training and integrate yourself into a company’s data team with the option to join them permanently after your two years on client site.
Here are some examples of the projects we have worked on:
We have built chatbots to enhance customer experience
Complex dashboards with AI, for banking clients so they have greater information at their fingertips
Implementation of blockchain within the travel industry making transactions quicker and more secure
Created a data analytics database for computational chemistry as part of a wider data infrastructure for augmented drug discovery
Sentiment Engines built for retailers to better understand demand
Used Machine Learning and predictive modelling to foresee and solve potential customer problems before they happen for a telecommunications client
Improving health treatments and food nutrition for pets using Natural Language Processing on vets’ notes
We can use the above examples if you’d like but it would be good to have something more specific on what they could be doing on client site.
What we need from you:
Proven analytical and problem solving skills - we don't need any previous coding skills, just excitement to learn!
Team player - you have the desire to collaborate and share knowledge with your colleagues
Desire to work with data to help organisations improve efficiency and decision making
Strong interest for analytics, data and technology
Good communication skills, both oral and written
A strong work ethic and commitment to producing high quality solutions
Flexibility, a positive attitude, maturity and humility
Geographic flexibility; you must be able to attend training in London and then be placed either in London or around the UK.
Minimum degree requirements:
Educated to degree level with at least A level mathematics or statistics and minimum of 120 new (300 old) UCAS points
Master’s degree with preferably a strong quantitative component, though exceptional candidates with a Bachelor’s degree will also be considered
Salary:
£32,000 after commencing client project work, with a rise after one year of project work to £40,000
Job Types: Full-time, Permanent
Salary: £32,000.00 per year
Benefits:
Work From Home
Schedule:
Monday to Friday
COVID-19 considerations:
Some of your training will be remote, but you may need to also be within Commuting distance of our Southwark office.
Education:
Bachelor's (Required)
Work remotely:
No"
Machine Learning Engineer-Trust & Safety,TikTok,"Responsibilities
TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. While fulfilling our mission, TikTok identifies trust and safety as a top priority and our team is dedicated to enhancing it. Our Trust and Safety engineering team is responsible for developing state-of-the-art machine learning models and algorithms to protect our platform and users from the content and behaviors that violate community guidelines and related local regulations. With the continuous efforts from our trust and safety team, TikTok is able to provide the best user experience and bring joy to everyone in the world. Responsibilities: 1. Build industry-leading trust and safety systems for TikTok; 2. Develop highly-scalable classifiers, tools, models and algorithms leveraging cutting-edge machine learning, computer vision and data mining technologies; 3. Understand product objectives and improve trust and safety strategy and model iterations; 4. Work with cross-functional teams to protect TikTok globally.
Qualifications
1. Bachelor or above degree in computer science or a related technical discipline; 2. 2+ years' industrial experience; 3. Solid experience in at least one of the following areas: machine learning, pattern recognition, NLP, data mining, or computer vision; 4. Experience in trust and safety is a plus; 5. Well understanding of data structures and algorithms; 6. Great communication and teamwork skills; 7. Passion about techniques and solving challenging problems."
"Engineer, Machine Learning",OakNorth Bank,"OakNorth is the next-generation credit and monitoring platform that provides banks and lending institutions with the insight and foresight needed to create a better borrowing experience for the Missing Middle – the growth business who are the backbones of communities and economies globally but who have been in banking’s blind spot for decades.
The business was founded in 2015 by Rishi Khosla and Joel Perlman, who previously co-founded Copal Amba and grew it to 3,000 employees over 12 years, before selling it to Moody’s (NYSE: MCO) in 2014, returning 125 times capital to seed investors.
Since its inception, OakNorth has secured over $1bn from several investors, including: Clermont Group, Coltrane, EDBI of Singapore, GIC, Indiabulls, NIBC, Toscafund, and SoftBank’s Vision Fund.
The Platform has been deployed at various banks across North America, Europe, and Asia, and in the UK where OakNorth lends off of its own balance sheet via OakNorth Bank. The platform has helped OakNorth Bank become the fastest-growing business in Europe according to the Financial Times FT 1000 (2020), profitably lending over £4bn to date. In terms of the impact this has had on the economy, OakNorth Bank’s loans have directly helped with the creation of 13,000 new homes and 17,000 new jobs in the UK, as well as adding several billion pounds to the economy.
With offices in London, New York, Manchester, Singapore, Hong Kong, Shanghai, Istanbul, Gurgaon and Bangalore, the global team across the OakNorth Holdings group is over 800 people.

SMEs are crucial in the global economy. Although they account for 99% of business in the UK/US, their financing need is increasingly difficult to be met by major banks, due to higher risk of default and the diversity of different sectors in that make up ""SME"".
To solve this problem, OakNorth is building a platform to improve productivity of SME lenders. From credit appraisal, to loan monitoring, the OakNorth Machine Learning team has identified multiple key areas that can be optimised by recent advances in Machine Learning (ML), Natural Language Processing (NLP), Computer Vision (CV), and Information Retrieval (IR).

We are looking for passionate scientists and/or software engineers who will be joining the fastest growing and profitable fintech in London as a Machine Learning Engineer. You enjoy solving challenging tasks and creating impactful and data-driven products with innovative techniques.
We expect you are:
Experienced in ML, CV, NLP, IR, or related fields
A PhD (or Master with 3 years' experience in industry)
Able to quickly learn new technologies and comprehend academic literatures independently.
We would love to see:
Experience with modern deep learning frameworks (e.g. PyTorch, Tensorflow, Jax)
Experience working on distributed software system (e.g. Spark, Hadoop, ElasticSearch)
Publications in related academic venues (e.g. ACL, CVPR, EMNLP, ICML, KDD, NeurIPS)
You will:
Work with domain experts to shape the future of our platform.
Research and evaluate techniques that can improve/solve a concrete business workflow/problem.
Convert research findings into production-level software systems.
Publish findings in top-tier academic venues.
Thank you very much for your interest in OakNorth. We are happy to consider you for roles within our group of companies. If we can identify a match between your skill set and our immediate recruiting needs, please expect to hear from us very soon. If we are unable to identify a fit in the near term, please note that we intend to retain the data you send to us so we may contact you in the future."
Machine Learning Research Engineer,Twitter,"Who we are
Are you interested in helping build a new Twitter experience? Our team is working to connect users to content based on their interests and intent in addition to who they follow. We do this working within the Twitter Search stack - it is the search engine for Twitter, and the way to find the most relevant and engaging content for any topic or interest. Twitter Search is a fast growing search engine, which our users rely on to find public accounts and conversations. The product requires building a high quality experience for a wide range of queries in real time. Often this means our systems need to understand the intent behind user queries, be able to match large streams of content with that intent, which are then ranked and displayed. We build technology to enable us to deliver this at scale. We have a mix of Systems and Applied ML engineers who work on the user facing product, as well as the models that improve the quality of the product.

What you will do
Apply your research expertise to improve our ML driven products, help us develop new solutions and unlock new directions, as well as analyse and improve the systems we already have. You’ll work closely with product teams and ML researchers and engineers and mentor them on standard methodologies for modern ML, and keep the wider team informed on the state-of-the-art as well as alternative directions to take. You will lead research projects to enable Twitter to better bring to bear ML on its platforms and advance the state-of-the-art in ML. You will be collaborating on strategic decisions and future roadmaps for Machine Learning driven products and technologies at Twitter. Your impact will directly affect millions of Twitter users around the globe.

Who you are
Apply your research expertise to help direct our product modeling efforts, focusing on using creative data-driven ML approaches to solving open-ended product questions. Help us develop new solutions and unlock new directions, as well as analyze and improve the systems we already have. You’ll work closely with ML engineers and data scientists and mentor them on modern approaches to using ML for solving product challenges at Twitter’s scale. You will be collaborating on strategic decisions and future roadmaps for Machine Learning driven products and technologies at Twitter. You are a key member of the Cortex Boston Product Modeling team, which consists of authorities in ML, data science, and software engineering. Your impact will directly affect millions of Twitter users around the globe.

Qualifications
Master, Post-graduate or PhD in computer science, machine learning, information retrieval, recommendation systems, natural language processing, statistics, math, engineering, operations research, or other quantitative discipline; or equivalent work experience.
Good theoretical grounding in core machine learning concepts and techniques.
Ability to perform comprehensive literature reviews and provide critical feedback on state-of-the-art solutions and how they may fit to different operating constraints.
Experience with a number of ML techniques and frameworks, e.g. data discretization, normalization, sampling, linear regression, decision trees, SVMs, deep neural networks, bandits, reinforcement learning etc.
Familiarity with one or more DL software frameworks such as Tensorflow, PyTorch.
Nice to haves
Experience with large-scale systems and data, e.g. Hadoop, distributed systems
Publications in top conferences such as ICLR, NeurIPS, ICML, RECSYS, CVPR, ICCV, ECCV, etc
Experience with one or more of the following:
Natural Language Processing
Recommender Systems
Model optimisation
Prediction / Inference (e.g. Bayesian)
Online Learning
Reinforcement Learning
Equal opportunity employment
We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran status, genetic information, marital status or any other legally protected status."
CIB Applied AI & Machine Learning - Economic and Financial R...,"JPMorgan Chase Bank, N.A.","About Data Analytics within Global Research
Data Analytics at J.P. Morgan Corporate Investment Bank combines cutting edge machine learning techniques with the company's unique data assets to optimize all the business decisions we make. In this role, you will be part of our industry-leading data analytics team, and advance the state-of-the-art in financial applications ranging from generating business intelligence to predictive models and automated decision making.
The role will be in the firm's Applied AI and Machine Learning organization and will involve working closely with Global Research.
About Global Research
The firm's Research team provides clients with informed views and actionable ideas on economic indicators, markets, companies and asset classes around the world. Its top ranked research analysts, strategists and economists are located in 27 countries in developed and emerging economies. CIB Research strives to be a leader in articulating its unique and independent perspectives in the regions where we want to do business.
Clients of the CIB, Asset Management, and other lines of business value the expertise of Research in helping them achieve their objectives. They recognize its commitment with top-tier rankings in surveys conducted by Institutional Investor, Greenwich Associates, Orion and many others.
Responsibilities
The successful candidate will apply data analytics techniques from both traditional statistics and machine learning to a combination of third party, publically available and JPMorgan proprietary datasets, with the goal of answering questions relevant to our Research analysts and the firm's clients.
Collaborate with Research colleagues to formulate relevant financial and business questions that can be answered by data analysis.
Research and analyze data sets using a variety of statistical and machine learning techniques
Communicate final results and give context.
Document approach and techniques used.
Work on longer term projects, building tooling that can be used to scale certain types of analyses across multiple datasets and business use cases.
Collaborate with other J.P. Morgan machine learning teams.
Required Technical Qualifications, experience & behaviours
MS or PhD in a quantitative discipline, e.g. Computer Science, Mathematics, Statistics, Operations Research, Data Science, or similar BS with experience in a highly quantitative position.
Hands-on experience analyzing data.
Experience with natural language processing (NLP).
Strong ability to develop and debug in Python or similar professional programming language.
Problem solving and collaboration skills
Should be able to work both individually and collaboratively in teams, in order to achieve project goals.
Must be curious, hardworking and detail-oriented, and motivated by complex analytical problems.
Must have the ability to design or evaluate intrinsic and extrinsic metrics of your model's performance which are aligned with business goals.
Must be able to independently research and propose alternatives with some guidance as to problem relevance.
Must be able to undertake basic and advanced EDA, may require some direction from more senior team; should be aware of limitation and implication of methodology choices.
Ensures re-use and sharing of ideas within team and locale.
Able to work with non-specialists in a partnership model, conveys information clearly and creates a sense of trust with stakeholders.
Nice to Have
Ideally, some experience with machine learning APIs and computational packages (examples: TensorFlow, Theano, PyTorch, Keras, Scikit-Learn, NumPy, SciPy, Pandas, statsmodels).
Experience with big-data technologies such as Hadoop, Spark, SparkML, etc.
Shows institutional awareness and some understanding of applied problem solving, may require coaching and guidance as to how to most rapidly reach a satisfactory conclusion
The hiring manager for this job opening would welcome a conversation about flexible working. This could range from ad hoc flexibility in a full time position, to a more formal Flexible Work Arrangement.J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.
We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs."
"Software Engineer, Machine Learning",Facebook,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.
Facebook is seeking Lead/Principal machine learning engineers to join our engineering team. The ideal person will have industry experience working on a range of classification and optimisation problems, e.g. payment fraud, click-through rate prediction, recommendation systems, click-fraud detection, search ranking, text/sentiment classification or spam detection. The position will involve taking these skills and applying them to some of the most exciting and massive social data and prediction problems that exist on the web. You will bring the ability to own the whole ML life cycle, define projects and drive excellence across teams.
Play a critical role in setting the direction and goals for a sizable team, in terms of project impact, ML system design, and ML excellence
Be a go-to person to escalate the most complex online / production performance and evaluation issues, that require an in depth knowledge of how the machine learning system interacts with systems around it
Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models
Suggest, collect and synthesise requirements and create effective feature roadmap
Code deliverables in tandem with the engineering team
Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU)
Re-evaluate the tradeoffs of already shipped features/ML systems, and you are able to drive large efforts across multiple teams to reduce technical debt, designing from first principles when appropriate.

Experience in one or more of the following areas: machine learning, recommendation systems, pattern recognition, data mining or artificial intelligence
Proven ability to translate insights into business recommendations
Experience with Hadoop/HBase/Pig or MapReduce/Sawzall/Bigtable/Hive/Spark Expert knowledge developing production level ML products
Expert with scripting languages such as Python, Perl, PHP, and/or shell scripts
Experience developing and debugging in Java, C++ or similar
Experience of demonstrating technical leadership working with teams, owning projects, defining and setting technical direction for projects."
Data Scientist - Deep Learning,IQVIA,"IQVIA™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients. Formed through the merger of IMS Health and Quintiles, IQVIA offers a broad range of solutions that harness the power of healthcare data, domain expertise, transformative technology, and advanced analytics to drive healthcare forward.
Data Scientist - Deep Learning
Machine Learning & Artificial Intelligence Solutions,
We are looking for a creative, innovative, intellectually curious and entrepreneurial Data Scientist with experience in developing Machine Learning software to join our London-based team.
This is an exciting opportunity to work in one of the world's leading human data science teams working with Real World Insights to help our clients answer specific questions globally, make more informed decisions and deliver results.
The role
We are looking for a Data Scientist who is keen to build machine learning products at the cutting-edge of life sciences. The primary focus of the role is to develop ML algorithms on high scale-high complexity rich medical data to predict answers to healthcare challenges. There is an important research component, so a strong academic background and some software development experience is preferable (the role includes opportunity to publish and participate in academic conferences).
In addition, there is scope for development in other key areas:
Product Development- Working closely with software engineers, system architects and data scientists to build automated and scalable routines / libraries.
Business Development- Supporting business development initiatives, including technical support for product sales, thought leadership (includes publications, presentations at academic conferences, client workshops, etc.).
At IQVIA we appreciate and nurture individual talent. Therefore, the exact blend of responsibilities and individual career development will in part depend on the skill set and aspirations of the successful candidate.
Our ideal candidate: Experience
MSc or PhD in Machine Learning, Computer Science, Physics, Bioinformatics or similar
Analytical experience within a top academic or commercial organisation where data-led problem solving was core part of the role.
Experience with the design and delivery of advanced machine learning projects in either academic or commercial settings.
A proactive, innovative and pragmatic approach to problem solving and an ability to think critically and independently, able to work as part of a cross-functional team.
Our ideal candidate: Tech Skills
Good knowledge of deep learning methods (e.g. Convolutional neural networks, Recurrent neural networks, Transformer)
Hands-on experience with Neural Network libraries (e.g. TensorFlow, Keras, PyTorch).
Good knowledge of supervised machine learning methods, particularly gradient boosting classifiers (e.g. XGBoost, LightGBM)
Good programming skills in Python.
Understanding of what it takes to write clean code and some experience of the data science package landscape, for example numpy, pandas, matplotlib, etc.
Experience with software development lifecycle.
Bonus points for:
Experience with explainability methods (e.g. SHAP)
Experience with Graph Neural Networks
Knowledge of healthcare patient-level data
Knowledge of epidemiology / biostatistics, particularly analytical issues relating to studies of treatment effectiveness, disease progression, adherence, healthcare utilization, etc.
Work in bioinformatics.
Knowledge of healthcare / life science issues involving Real-World Evidence.
Experience with patient-level, longitudinal data.
The Team
Our Machine Learning & Artificial Intelligence team within the Real-World & Analytics Solutions (RWAS) Technology division is a fast-growing group of collaborative, enthusiastic, and entrepreneurial individuals. In our never-ending quest for opportunities to harness the value of Real World Evidence (RWE), we are at the centre of IQVIA’s advances in areas such as machine learning and cutting-edge statistical approaches. Our efforts improve retrospective clinical studies, under-diagnosis of rare diseases, personalized treatment response profiles, disease progression predictions, and clinical decision-support tools.
You will join this high-profile team to work on ground-breaking problems in health outcomes across disease areas including Oncology, Neurology, Chronic diseases such as diabetes, and a variety of very rare conditions. The Machine Learning & Artificial Intelligence Analytics team work hand-in-hand with statisticians, epidemiologists and disease area experts across the wider global RWE Solutions team, leveraging a vast variety of anonymous patient-level information from sources such as electronic health records. The data encompasses IQVIA’s access to over 530 million anonymised patients as well as bespoke, custom partnerships with healthcare providers and payers.
The Business Unit: Real-World Solutions (RWS) Technology
Real-World Solutions (RWS) is a market-leading, fast-growing and highly successful business, focusing upon delivering tangible business results to clients across healthcare value chain internationally, working with key decision-makers and business managers. RWS teams help clients lever complex clinically rich patient-level healthcare datasets to understand healthcare treatment patterns and outcomes to make more informed decisions, and deliver results.
The RWS Technology mission is to deliver world class and globally scalable technology platforms and analytics applied to complex and large scale clinical datasets, to support IQVIA’s ongoing and rapid growth in Real World Evidence, as well as the development of new product lines - this requires global leadership across technical and data architecture, software development and data visualization, privacy management, analytical methods, data science, machine learning, deep learning and natural language processing (NLP) - building upon 100s of novel technologies and methods either published in peer reviewed journals or patented by our team.
The solutions are delivered to a variety of clients across life-science, government, payor or provider organizations. The CoE also curates the largest collection of de-identified Real-World Data in the world, from different patient care settings in 18 countries worldwide – the RWES Tech CoE is at the forefront of “Big Data” in healthcare. Through its mission and skills, the RWES is transforming the way clients create new insights and deliver improved healthcare research and patient outcomes.
Join Us
Making a positive impact on human health takes insight, curiosity, and intellectual courage. It takes brave minds, pushing the boundaries to transform healthcare. Regardless of your role, you will have the opportunity to play an important part in helping our clients drive healthcare forward and ultimately improve outcomes for patients.
Forge a career with greater purpose, make an impact, and never stop learning."
Machine Learning Engineer,nPlan,"We are looking for a Machine Learning Engineer to join our team in London. We are all about making construction more predictable via a comprehensive understanding of plan outcomes, and a crucial part of that is being able to deliver deep insights for very large construction schedules. We're working with some of the largest infrastructure projects in the world, which means an opportunity to have true impact on the world around us.
You'll be solving some meaningful and interesting problems, with a strong technical team:
Design and build new ML models based on our existing data
Maintain and grow our database of over 600M construction activities
Maintain and develop our ML training pipeline
Create your own tools to automate processes
Participate in setting the direction of the company
Help other team members through peer code reviews
We need you to have:
Strong knowledge of Python, including tensorflow, pandas, numpy, visualisation tools like matplotlib or ggplot, and jupyter notebooks.
A PhD in Machine Learning, Deep Learning, Statistics, Mathematics, Physics or Computer Science, or equivalent research or engineering experience.
Knowledge of at least one deep learning framework (such as Tensorflow, Theano, Caffe, Torch, PyTorch)
Familiar working with Git in engineering teams
Please mention the word 'crane' in your application
(bonus) contributions to relevant open source projects
(bonus) knowledge of distributed programming
(bonus) an understanding of document embeddings
(bonus) experience in previous Machine Learning startups
The typical nPlanauts are:
generally curious about the world
serious, without taking themselves too seriously
able to define their own work
proactive about improving the world around them
open-minded about new technical ideas
willing to change their mind on the basis of the evidence
What working at nPlan will be like:
There is plenty of opportunity for a high degree of ownership over different areas of the company, and you will be directly exposed to all areas of the business.
Your voice will always be heard. What you do or say counts, not who you are or where you're from.
We consider engineering quality of paramount value and will always strive for the best solution to a problem.
We are a cross-disciplinary team, and come from all sorts of backgrounds and countries.
We are committed to addressing the diversity problem in the tech industry, and that starts with making sure we have a team where everyone feels at home and can contribute as a peer.
Everyone in the company has the same opportunity. Your success will only ever depend on your contribution to the company, and how well the company is doing.
Having time to yourself and a private life is important. We offer a very flexible work environment and a generous holiday policy."
Machine Learning Engineer,GSK,"Site Name: UK - London - Brentford
Posted Date: Jun 17 2020
At GlaxoSmithKline we have created a world-leading data and computational environment to enable large scale scientific experiments that exploit GSK’s unique access to data. Our focus is on bringing data, analytics & science together into solutions for our scientists to develop medicines for patients.
We are seeking to grow our team with brilliant and diverse contributors with technical ability. We are looking for machine learning experts that want to be part of a team that discovers new medicines. This is an exciting role that will stretch your knowledge and curiosity, offering the opportunity to learn new skills and work within a global community.
This is a hands-on position where you will be empowered to be creative, ambitious and bold, to solve novel R&D problems and have the potential to directly impact the lives of patients living with disease. We have impressive toolkits and world class data, and we are now looking for talented people to join us.
As a Machine Learning Engineer we’d like you to be able to:
Influence machine learning strategy for a program/project; explores design options to assess efficiency and impact, develop approaches to improve robustness and rigour
Be a key contributor to the planning and direction of a project and effectively prioritize goals
Lead discussions at peer review and uses quantitative skills to positively influence decision making
Effectively explain technical concepts at all levels in the organization, including senior managers/stakeholders
Lead, or makes major contributions to, improvements in methodology or initiatives to address capability gaps or increase efficiency
Represent GSK externally to advance technical capability across the Industry
Identify opportunities to apply the latest advancements in Machine Learning and Artificial Intelligence to build, test, and validate predictive models
Create algorithms to extract information from large, multiparametric data sets
Deploy your algorithms to production to identify actionable insights from large databases
Compare results from various methodologies and recommend best techniques to stake holders
Design, develop and implement analytical solutions using a variety of commercial and open source tools (common tools include Python, R, TensorFlow)
Develop and embed automated processes for predictive model validation, deployment, and implementation
Connect and collaborate with subject matter experts in biology, chemistry, and medicine.
Make impactful contributions to internal discussions on emerging machine learning methodologies
Basic Qualifications:
It would be fantastic if you have
A higher degree in Engineering, Statistics, Data Science, Applied Mathematics, Computer Science, Physics, Computational Biology, Computational Chemistry or related quantitative field
Expert understanding of a programming language such as Python.
Experience with at least one Deep Learning framework such as TensorFlow, Keras, or PyTorch
Excellent written and verbal communication skills
Ability to work autonomously and collaboratively as part of a team to both teach and learn every day
Why GSK?
Our values and expectations are at the heart of everything we do and form an important part of our culture.
These include Patient focus, Transparency, Respect, Integrity along with Courage, Accountability, Development, and Teamwork. As GSK focuses on our values and expectations and a culture of innovation, performance, and trust, the successful candidate will demonstrate the following capabilities:
Operating at pace and agile decision-making – using evidence and applying judgement to balance pace, rigour and risk.
Committed to delivering high quality results, overcoming challenges, focusing on what matters, execution.
Continuously looking for opportunities to learn, build skills and share learning.
Sustaining energy and well-being
Building strong relationships and collaboration, honest and open conversations.
Budgeting and cost-consciousness
LI-GSK
As a company driven by our values of Patient focus, Transparency, Respect and Integrity, we know inclusion and diversity are essential for us to be able to succeed. We want all our colleagues to thrive at GSK bringing their unique experiences, ensuring they feel good and to keep growing their careers. As a candidate for a role, we want you to feel the same way.
As an Equal Opportunity Employer, we are open to all talent. In the US, we also adhere to Affirmative Action principles. This ensures that all qualified applicants will receive equal consideration for employment without regard to race/ethnicity, colour, national origin, religion, gender, pregnancy, marital status, sexual orientation, gender identity/expression, age, disability, genetic information, military service, covered/protected veteran status or any other federal, state or local protected class*(*US only).
We believe in an agile working culture for all our roles. If flexibility is important to you, we encourage you to explore with our hiring team what the opportunities are.
Please don’t hesitate to contact us if you’d like to discuss any adjustments to our process which might help you demonstrate your strengths and capabilities. You can either call us on
Show phone number
, or send an email ukdiversity.recruitment@gsk.com
As you apply, we will ask you to share some personal information which is entirely voluntary. We want to have an opportunity to consider a diverse pool of qualified candidates and this information will assist us in meeting that objective and in understanding how well we are doing against our inclusion and diversity ambitions. We would really appreciate it if you could take a few moments to complete it. Rest assured, Hiring Managers do not have access to this information and we will treat your information confidentially.
Important notice to Employment businesses/ Agencies
GSK does not accept referrals from employment businesses and/or employment agencies in respect of the vacancies posted on this site. All employment businesses/agencies are required to contact GSK's commercial and general procurement/human resources department to obtain prior written authorization before referring any candidates to GSK. The obtaining of prior written authorization is a condition precedent to any agreement (verbal or written) between the employment business/ agency and GSK. In the absence of such written authorization being obtained any actions undertaken by the employment business/agency shall be deemed to have been performed without the consent or contractual agreement of GSK. GSK shall therefore not be liable for any fees arising from such actions or any fees arising from any referrals by employment businesses/agencies in respect of the vacancies posted on this site.
Please note that if you are a US Licensed Healthcare Professional or Healthcare Professional as defined by the laws of the state issuing your license, GSK may be required to capture and report expenses GSK incurs, on your behalf, in the event you are afforded an interview for employment. This capture of applicable transfers of value is necessary to ensure GSK’s compliance to all federal and state US Transparency requirements. For more information, please visit GSK’s Transparency Reporting For the Record site."
Machine Learning Engineer – Search,Spotify,"The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Daily Mix to Discover Weekly, we’re behind some of Spotify’s most-loved features. We built them by understanding the world of music and podcasts better than anyone else. Join us and you’ll keep millions of users listening by making great recommendations to each and every one of them.
What you’ll do:
Contribute to designing, building, evaluating, shipping, and refining Spotify’s product by hands-on ML development
Collaborate with a cross functional agile team spanning user research, design, data science, product management, and engineering to build new product features that advance our mission to connect artists and fans in personalized and relevant ways
Prototype new approaches and production-ize solutions at scale for our hundreds of millions of active users
Help drive optimization, testing, and tooling to improve quality
Be part of an active group of machine learning practitioners in Boston (and across Spotify) collaborating with one another
Who you are:
You have a strong background in machine learning, with experience and expertise in personalized machine learning algorithms, especially recommender systems.
You have hands-on experience implementing production machine learning systems at scale in Java, Scala, Python, or similar languages. Experience with XGBoost, TensorFlow is also a plus.
You preferably have experience with data pipeline tools like Apache Beam or even our open source API for it, Scio and cloud platforms like GCP or AWS.
You care about agile software processes, data-driven development, reliability, and disciplined experimentation
You love your customers even more than your code
You are welcome at Spotify for who you are, no matter where you come from, what you look like, or what’s playing in your headphones. Our platform is for everyone, and so is our workplace. The more voices we have represented and amplified in our business, the more we will all thrive, contribute, and be brilliant. So bring us your personal experience, your perspectives, and your background. It’s in our differences that we will find the power to keep revolutionizing the way the world listens.
Spotify transformed music listening forever when we launched in 2008. Our mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by these creators. Everything we do is driven by our love for music and podcasting. Today, we are the world’s most popular audio streaming subscription service with a community of more than 286 million users."
